,count(date),date
0,5239,2014-04-01
1,6224,2014-04-02
2,5802,2014-04-03
3,7354,2014-04-04
4,4146,2014-04-05
5,4992,2014-04-06
6,5710,2014-04-07
7,6166,2014-04-08
8,5837,2014-04-09
9,6018,2014-04-10
10,6402,2014-04-11
11,4114,2014-04-12
12,4307,2014-04-13
13,4995,2014-04-14
14,5950,2014-04-15
15,5701,2014-04-16
16,6251,2014-04-17
17,5362,2014-04-18
18,3954,2014-04-19
19,3922,2014-04-20
20,5086,2014-04-21
21,5294,2014-04-22
22,6337,2014-04-23
23,6763,2014-04-24
24,6757,2014-04-25
25,6316,2014-04-26
26,5131,2014-04-27
27,5957,2014-04-28
28,6453,2014-04-29
29,11043,2014-04-30
30,7466,2014-05-01
31,6733,2014-05-02
32,4919,2014-05-03
33,4308,2014-05-04
34,6290,2014-05-05
35,6402,2014-05-06
36,6716,2014-05-07
37,10093,2014-05-08
38,7984,2014-05-09
39,4947,2014-05-10
40,4934,2014-05-11
41,6206,2014-05-12
42,6339,2014-05-13
43,7127,2014-05-14
44,8378,2014-05-15
45,8444,2014-05-16
46,5060,2014-05-17
47,5987,2014-05-18
48,6656,2014-05-19
49,6818,2014-05-20
50,7503,2014-05-21
51,8795,2014-05-22
52,7250,2014-05-23
53,4066,2014-05-24
54,3341,2014-05-25
55,2992,2014-05-26
56,6161,2014-05-27
57,6835,2014-05-28
58,6871,2014-05-29
59,7301,2014-05-30
60,5162,2014-05-31
61,5218,2014-06-01
62,6654,2014-06-02
63,6932,2014-06-03
64,7293,2014-06-04
65,10754,2014-06-05
66,7886,2014-06-06
67,5792,2014-06-07
68,5265,2014-06-08
69,10972,2014-06-09
70,7895,2014-06-10
71,8883,2014-06-11
72,9152,2014-06-12
73,10814,2014-06-13
74,5488,2014-06-14
75,5030,2014-06-15
76,6797,2014-06-16
77,7088,2014-06-17
78,8050,2014-06-18
79,8451,2014-06-19
80,7696,2014-06-20
81,5503,2014-06-21
82,5443,2014-06-22
83,6930,2014-06-23
84,6983,2014-06-24
85,8230,2014-06-25
86,8764,2014-06-26
87,8226,2014-06-27
88,6161,2014-06-28
89,6346,2014-06-29
90,7158,2014-06-30
91,7296,2014-07-01
92,7786,2014-07-02
93,7563,2014-07-03
94,4475,2014-07-04
95,3497,2014-07-05
96,3538,2014-07-06
97,6498,2014-07-07
98,8817,2014-07-08
99,9294,2014-07-09
100,9706,2014-07-10
101,9293,2014-07-11
102,7581,2014-07-12
103,7678,2014-07-13
104,9077,2014-07-14
105,9501,2014-07-15
106,9981,2014-07-16
107,9788,2014-07-17
108,9430,2014-07-18
109,8061,2014-07-19
110,7750,2014-07-20
111,8968,2014-07-21
112,9846,2014-07-22
113,10560,2014-07-23
114,10200,2014-07-24
115,9711,2014-07-25
116,8334,2014-07-26
117,8359,2014-07-27
118,9230,2014-07-28
119,9287,2014-07-29
120,10230,2014-07-30
121,10377,2014-07-31
122,10072,2014-08-01
123,8403,2014-08-02
124,8365,2014-08-03
125,9519,2014-08-04
126,9693,2014-08-05
127,10498,2014-08-06
128,10496,2014-08-07
129,10146,2014-08-08
130,7401,2014-08-09
131,7148,2014-08-10
132,8967,2014-08-11
133,9187,2014-08-12
134,11360,2014-08-13
135,9721,2014-08-14
136,9804,2014-08-15
137,7463,2014-08-16
138,7916,2014-08-17
139,8860,2014-08-18
140,8833,2014-08-19
141,9738,2014-08-20
142,10010,2014-08-21
143,9999,2014-08-22
144,7898,2014-08-23
145,8069,2014-08-24
146,8887,2014-08-25
147,9023,2014-08-26
148,9546,2014-08-27
149,9854,2014-08-28
150,10043,2014-08-29
151,7720,2014-08-30
152,6934,2014-08-31
153,6695,2014-09-01
154,11203,2014-09-02
155,11328,2014-09-03
156,12419,2014-09-04
157,13063,2014-09-05
158,10627,2014-09-06
159,10215,2014-09-07
160,11665,2014-09-08
161,12057,2014-09-09
162,12241,2014-09-10
163,11200,2014-09-11
164,12337,2014-09-12
165,10728,2014-09-13
166,9965,2014-09-14
167,11283,2014-09-15
168,14588,2014-09-16
169,12044,2014-09-17
170,12419,2014-09-18
171,12662,2014-09-19
172,10682,2014-09-20
173,10927,2014-09-21
174,11225,2014-09-22
175,10809,2014-09-23
176,11331,2014-09-24
177,15663,2014-09-25
178,10938,2014-09-26
179,10633,2014-09-27
180,10962,2014-09-28
181,11778,2014-09-29
182,12136,2014-09-30
